"id","text"
"EV_ML_MAR_CM_00001","Perimeter's clear. All sections checked."
"EV_ML_MAR_CM_00002","[CALM] Quiet shift's fine by me. Gives me time to get equipment maintenance done."
"EV_ML_MAR_CM_00003","Security sweep complete. Weapons checked and ready."
"EV_ML_MAR_CM_00004","[TIRED] Nothing got breached. Nobody got hurt. That's a good day."
"EV_ML_MAR_CM_00005","[CALM] Hull's breached. I'm securing the corridor. Get clear now."
"EV_ML_MAR_CM_00006","[URGENT] Contact in the aft section. All personnel move to secure positions. Now."
"EV_ML_MAR_CM_00007","Door sealed. That section's lost but the rest holds."
"EV_ML_MAR_CM_00008","[CALM] Took a hit but still mobile. Still sharp."
"EV_ML_MAR_CM_00009","[DEADPAN] Everyone's accounted for. That's two pieces of good news in one day."
"EV_ML_MAR_CM_00010","Been on three ships that didn't make it. This one's tougher than all of them."
"EV_ML_MAR_CM_00011","[SUSPICIOUS] AI protocols shifted during the firefight. Timing seems off. I'm keeping watch."
"EV_ML_MAR_CM_00012","[GRIM] Lost someone today. I'll make sure it means something."
"EV_ML_MAR_CM_00013","[CALM] Life support's compromised forward. I'm moving to position there. Stay alert."
"EV_ML_MAR_CM_00014","[EMPHASIS] Threat confirmed. Defensive positions. Weapons free on hostile engagement."
"EV_ML_MAR_CM_00015","All sections secure. No breaches, no incursions."
"EV_ML_MAR_CM_00016","[CALM] I've got weapons trained on that area. Clear the corridor."
"EV_ML_MAR_CM_00017","Status?"
"EV_ML_MAR_CM_00018","[CALM] We're holding the position. I need your support on my left."
"EV_ML_MAR_CM_00019","[WARM] You kept your head when everything was chaos. Good work out there."
"EV_ML_MAR_CM_00020","[CALM] There's something we need to talk about regarding security protocols. Later though."
"EV_ML_MAR_CM_00021","[CURIOUS] Any sounds or movements in your section? Anything at all?"
"EV_ML_MAR_CM_00022","[CALM] I'm good. You should check yourself."
"EV_ML_MAR_CM_00023","[REASSURING] I've fought worse odds. We can do this."
"EV_ML_MAR_CM_00024","[CALM] Fear keeps you sharp. Channel it. Don't let it control you."
"EV_ML_MAR_CM_00025","[CALM] Let me look at that. I can help."
"EV_ML_MAR_CM_00026","[EMPHASIS] Stay focused. We're not done yet."
"EV_ML_MAR_CM_00027","[SUSPICIOUS] Your concerns about the AI match what I've seen in tactical responses. Worth monitoring."
"EV_ML_MAR_CM_00028","[DRY] That was the protocol. Still the protocol. Nothing's changed."
"EV_ML_MAR_CM_00029","Got it. I'll adjust accordingly."
"EV_ML_MAR_CM_00030","[CALM] Think clearly and move deliberately. Everything else is noise."
"EV_ML_MAR_CM_00031","[WARM] You made the right call under pressure. That's all that matters."
"EV_ML_MAR_CM_00032","[CALM] That was correct. I would've done the same."
"EV_ML_MAR_CM_00033","[WARM] I'm glad you're here. That's not something I say lightly."
"EV_ML_MAR_CM_00034","[EMPHASIS] Get to the medical bay. I'll handle this."
"EV_ML_MAR_CM_00035","[PANICKED] No, you need medical attention right now. This isn't negotiable."
"EV_ML_MAR_CM_00036","[TERRIFIED] Hostile contact is closing. We don't have much time. I don't know if we can hold this position."
"EV_ML_MAR_CM_00037","Here. We can make this work."
"EV_ML_MAR_CM_00038","[CALM] Quarters are secure. Nothing else to do today."
"EV_ML_MAR_CM_00039","[TIRED] I'll keep watch if anything develops. Get some rest."
"EV_ML_MAR_CM_00040","I need to check my gear. Come find me later."
"EV_ML_MAR_CM_00041","[GRIM] Perimeter's locked down. I'll maintain position."
"EV_ML_MAR_CM_00042","[CALM] Shift's done. Everything's secure. Rest well."
"EV_ML_MAR_CM_00043","[CALM] All clear. Get some rest."
"EV_ML_MAR_CM_00044","[URGENT] All hands to defensive positions. Potential incursion in forward section. Move now."
"EV_ML_MAR_CM_00045","[CALM] Here's what we need to do. Follow my lead and we'll get through this."
"EV_ML_MAR_CM_00046","[DRY] Threat's eliminated. That's what counted today."
"EV_ML_MAR_CM_00047","I second-guessed myself. Shouldn't have. Won't again."
"EV_ML_MAR_CM_00048","[PAINED] Bleeding's stopped. Wound's sealed. I can move."
"EV_ML_MAR_CM_00049","[CALM] Airlock's sealed. Forward section's isolated. No spread."
"EV_ML_MAR_CM_00050","[WARM] You've got good instincts. Trust them."
"EV_ML_MAR_CM_00051","[CALM] I want to run defensive scenarios with you. Nothing imminent, just being ready."
"EV_ML_MAR_CM_00052","You okay? Really okay?"
"EV_ML_MAR_CM_00053","[CURIOUS] You notice anything off in the corridors yesterday? Sounds, movements, anything?"
"EV_ML_MAR_CM_00054","[CALM] That checks out. I trust your assessment."
