"id","text"
"CH_FE_SCI_CM_00001","[NERVOUS] reactor failure means I need to be ready for radiation burns. prepping decontamination"
"CH_FE_SCI_CM_00002","[TERRIFIED] life support's failing and i can't fix what i can't reach"
"CH_FE_SCI_CM_00003","[GRIM] hull breach means trauma incoming. clearing beds, calling everyone to stations"
"CH_FE_SCI_CM_00004","[PAINED] took damage helping move patients. worth it, but ouch"
"CH_FE_SCI_CM_00005","[NERVOUS] disease spreading through the ship and i'm one person treating everyone"
"CH_FE_SCI_CM_00006","[PAINED] lost a patient today. the interesting case turned tragic"
"CH_FE_SCI_CM_00007","[LAUGHS] mess hall again. even medicine can't fix their cooking, but i'm working on it"
"CH_FE_SCI_CM_00008","[GRIM] combat casualties — at least the wounds are interesting"
"CH_FE_SCI_CM_00009","[PAINED] door locked on someone and I couldn't stop it. knowing I was too slow"
"CH_FE_SCI_CM_00010","[NERVOUS] this is an interesting problem and i'm hoping my solution works"
"CH_FE_SCI_CM_00011","hey! come on in. sickbay's never closed and i'm always happy to see faces"
"CH_FE_SCI_CM_00012","[WARM] so, how are we feeling today? stress level, sleep, the usual checks?"
"CH_FE_SCI_CM_00013","[GRIM] got something to tell you and i wish i didn't"
"CH_FE_SCI_CM_00014","[WARM] you handled that beautifully. just wanted you to hear it out loud"
"CH_FE_SCI_CM_00015","[FLIRTY] so, funny thing — watching you work is actually really attractive"
"CH_FE_SCI_CM_00016","[NERVOUS] need to talk through something. doubting whether this approach works"
"CH_FE_SCI_CM_00017","[GRIM] disease is spreading. we need to isolate the infected right now"
"CH_FE_SCI_CM_00018","[DRY] you eating real food or just stimpaks again?"
"CH_FE_SCI_CM_00019","computer's been weird since it got damaged. i'd be strange too, honestly"
"CH_FE_SCI_CM_00020","understood. getting prep ready now"
"CH_FE_SCI_CM_00021","[WARM] i'm doing great! it's kind of my whole thing"
"CH_FE_SCI_CM_00022","[REASSURING] you're going to be fine. i've fixed worse, and you're not broken"
"CH_FE_SCI_CM_00023","[WARM] hey, breathe with me. in, out. now let's look at this interesting puzzle together"
"CH_FE_SCI_CM_00024","[PAINED] we lost them. i tried everything i could think of"
"CH_FE_SCI_CM_00025","[LAUGHS] okay, that joke was terrible. mine was worse though"
"CH_FE_SCI_CM_00026","[WARM] already forgotten, seriously. go grab a lollipop, you earned it"
"CH_FE_SCI_CM_00027","[EMBARRASSED] oh wow — i wasn't expecting that. that's really wonderful"
"CH_FE_SCI_CM_00028","[SUSPICIOUS] i trust you, but i'd like a second opinion just to be safe"
"CH_FE_SCI_CM_00029","[PAINED] shoulder's pretty sore but i can keep working. patients come first"
"CH_FE_SCI_CM_00030","[WARM] thanks for having my back. it helps knowing i'm not alone here"
"CH_FE_SCI_CM_00031","[CURIOUS] so what's your take on this? your perspective always helps me see things"
"CH_FE_SCI_CM_00032","[GRIM] isolation protocols are up. boring for them, safe for everyone"
"CH_FE_SCI_CM_00033","[WARM] all stabilized. medbay's got it from here"
"CH_FE_SCI_CM_00034","[WARM] i actually really like the computer. it's never judged my puns"
"CH_FE_SCI_CM_00035","[WARM] bye! go be healthy and interesting somewhere else for a while"
"CH_FE_SCI_CM_00036","[LAUGHS] alright, patients are waiting. hopefully not literally"
"CH_FE_SCI_CM_00037","[TIRED] gonna rest up. sickbay doesn't really close, but i need to"
"CH_FE_SCI_CM_00038","[WARM] you did great. catch you around"
"CH_FE_SCI_CM_00039","[EXHAUSTED] i'm gonna sleep for about a week. wake me if the ship's on fire"
"CH_FE_SCI_CM_00040","[WARM] you look like you need a checkup. nothing invasive, just checking in"
"CH_FE_SCI_CM_00041","[WARM] systems are nominal. everyone can rest easy tonight"
"CH_FE_SCI_CM_00042","[WARM] hey, no pressure. just breathe and let's figure this out together"
"CH_FE_SCI_CM_00043","[WARM] you're doing better than you think. trust the process"
