"id","text"
"EV_FE_MAR_OF_00001","Perimeter's clear. Logging it and moving on."
"EV_FE_MAR_OF_00002","[CALM] Quiet shift. I'll use it to run drills nobody wants to run."
"EV_FE_MAR_OF_00003","Shift starting. Weapons checked, positions confirmed."
"EV_FE_MAR_OF_00004","[TIRED] Shift's done. Nobody bled. I'll call that a success."
"EV_FE_MAR_OF_00005","[CALM] Reactor's unstable. I've already got two people staged near the engine room in case it goes worse."
"EV_FE_MAR_OF_00006","[URGENT] I need this deck cleared while engineering works. Move, calmly, now."
"EV_FE_MAR_OF_00007","Repair's holding. I verified it myself before I trusted the report."
"EV_FE_MAR_OF_00008","[CALM] Power's low. I've reprioritized security systems accordingly. We lose cameras before we lose air."
"EV_FE_MAR_OF_00009","[CALM] Life support's failing. I've got a headcount and a plan. In that order."
"EV_FE_MAR_OF_00010","Hull's breached. Sealing this section. Everyone else, fall back."
"EV_FE_MAR_OF_00011","[GRIM] I locked that door myself. It was the correct call. I'm not going to pretend it was an easy one."
"EV_FE_MAR_OF_00012","[SUSPICIOUS] I'm keeping a close watch on the AI since the damage. Standard procedure, nothing more, for now."
"EV_FE_MAR_OF_00013","[CALM] Crisis is over. Debrief in an hour. Rest until then."
"EV_FE_MAR_OF_00014","[GRIM] We lost someone today. I'll handle the notification personally."
"EV_FE_MAR_OF_00015","A contagion spreads like an ambush — fast, and only once. Containment starts now."
"EV_FE_MAR_OF_00016","[PAINED] Took a hit. It's manageable. Continuing the sweep."
"EV_FE_MAR_OF_00017","[CALM] Contact confirmed. Hold positions, controlled fire, watch your spacing."
"EV_FE_MAR_OF_00018","I don't extend trust automatically. The AI hasn't lost mine yet. That's the whole assessment."
"EV_FE_MAR_OF_00019","Six years in before I made officer here. I don't talk about most of it. Doesn't mean it didn't happen."
"EV_FE_MAR_OF_00020","[CALM] Cargo bay's secure. Checked it myself, not just the sensor feed."
"EV_FE_MAR_OF_00021","Mess hall's quiet. I'll take five minutes here before the next round."
"EV_FE_MAR_OF_00022","Morning. Status."
"EV_FE_MAR_OF_00023","You should eat. That wasn't a suggestion, exactly."
"EV_FE_MAR_OF_00024","[CALM] I need a minute of your time regarding the reactor situation."
"EV_FE_MAR_OF_00025","[GRIM] I have something difficult to tell you. I'd rather do it directly."
"EV_FE_MAR_OF_00026","[SUSPICIOUS] I want your read on the AI's recent behavior. Not the official one, the real one."
"EV_FE_MAR_OF_00027","You performed well under pressure today. I noticed."
"EV_FE_MAR_OF_00028","I'm fine. Ask me again if I'm still standing in an hour."
"EV_FE_MAR_OF_00029","[CALM] The odds favor us. I've run worse numbers and still come out the other side."
"EV_FE_MAR_OF_00030","[CALM] Fear's useful right up until it isn't. Breathe, then get back to your position."
"EV_FE_MAR_OF_00031","[GRIM] We lost them. I reviewed the call. It was sound. That doesn't make it lighter."
"EV_FE_MAR_OF_00032","[SUSPICIOUS] Your instincts match mine on this. I'll keep watching, quietly."
"EV_FE_MAR_OF_00033","Noted. Good work."
"EV_FE_MAR_OF_00034","Apology accepted. We move forward."
"EV_FE_MAR_OF_00035","[WARM] I don't say things like this often. I'm saying it now because I mean it."
"EV_FE_MAR_OF_00036","Dismissed. Rest while you can."
"EV_FE_MAR_OF_00037","[CALM] I'll be running the perimeter. Come find me if anything changes."
"EV_FE_MAR_OF_00038","Good work today. Go eat something and sleep. In that order."
"EV_FE_MAR_OF_00039","[TIRED] That's all I've got left for tonight. Same time tomorrow."
