"id","text"
"GR_ML_SCI_OF_00001","[CALM] systems operational. no surprises yet. give it time"
"GR_ML_SCI_OF_00002","shift starting. [TIRED] already used to say this with some hope"
"GR_ML_SCI_OF_00003","[DEADPAN] quiet shift means the problems are slow-moving. that's not better. that's just delayed"
"GR_ML_SCI_OF_00004","[GRUFF] sit down. before you ask, the answer is no. we can't fix that"
"GR_ML_SCI_OF_00005","[SIGHS] there are thirty-seven crew on record i didn't save. [DEADPAN] i remember all of them"
"GR_ML_SCI_OF_00006","reactor's showing cascade stress fractures. [GRUFF] sugar-coating: it's dead. we just don't know when"
"GR_ML_SCI_OF_00007","[DRY] back in the academy, they taught us bedside manner. [DEADPAN] back in the academy, nobody died"
"GR_ML_SCI_OF_00008","[NERVOUS] systems are failing in cascade. [EMPHASIS] this is the part where it gets interesting"
"GR_ML_SCI_OF_00009","[CALM] life support is degrading. at current rates, [GRUFF] let's not do the math"
"GR_ML_SCI_OF_00010","[GRIM] door locked with someone on the far side. [SIGHS] adds one more to the list"
"GR_ML_SCI_OF_00011","[URGENT] hull breach. [GRUFF] sit down. this is going to be loud"
"GR_ML_SCI_OF_00012","[CALM] pathogen spreading faster than containment. [DEADPAN] this will get worse before it doesn't"
"GR_ML_SCI_OF_00013","repair successful. [GRUFF] temporary. everything is temporary. enjoy it while it lasts"
"GR_ML_SCI_OF_00014","[EMPHASIS] someone's injured. sit down. [GRUFF] this is going to hurt before it hurts less"
"GR_ML_SCI_OF_00015","[DEADPAN] someone died. [SIGHS] i'll write it down. add them to the list of names i carry"
"GR_ML_SCI_OF_00016","[CALM] combat is happening. [GRUFF] get to medbay. we'll need the space"
"GR_ML_SCI_OF_00017","crisis handled. [DEADPAN] next crisis is already forming. but i'll take what i can get"
"GR_ML_SCI_OF_00018","[GRUFF] AI core is failing. that's the second-worst thing that can happen to a ship"
"GR_ML_SCI_OF_00019","[TIRED] meal time. [DEADPAN] i remember the last time i had one of those. it was better"
"GR_ML_SCI_OF_00020","[RESIGNED] shift over. everyone still breathing. [GRUFF] that's a win today"
"GR_ML_SCI_OF_00021","[CALM] sit down. we have a lot to discuss and not much time"
"GR_ML_SCI_OF_00022","[GRUFF] problems are stacking. [DEADPAN] no. that's not dramatic. that's just accurate"
"GR_ML_SCI_OF_00023","[CALM] something needs fixing. [GRUFF] i need someone who won't panic when i'm honest about it"
"GR_ML_SCI_OF_00024","[DRY] you look terrible. [GRUFF] i mean that professionally"
"GR_ML_SCI_OF_00025","[NERVOUS] systems failing in cascade. [EMPHASIS] we're in the part of the medical text nobody wants to read"
"GR_ML_SCI_OF_00026","[CALM] sit down. you're going to survive this. [GRUFF] i'm not going to let you be number thirty-eight"
"GR_ML_SCI_OF_00027","[DEADPAN] that was competent work. [GRUFF] i notice because incompetence usually kills people"
"GR_ML_SCI_OF_00028","[CALM] i've seen worse approaches. [GRUFF] not by much. but worse"
"GR_ML_SCI_OF_00029","[SUSPICIOUS] the AI's diagnosis doesn't match the symptoms. [GRUFF] that concerns me"
"GR_ML_SCI_OF_00030","[GRIM] Nakamura was a good field medic. [SIGHS] Nakamura is on my list now"
"GR_ML_SCI_OF_00031","[DRY] you're panicking. [GRUFF] panic kills faster than the disease does"
"GR_ML_SCI_OF_00032","[DEADPAN] you're making a romantic advance. [WARM] i appreciate more than i can admit"
"GR_ML_SCI_OF_00033","[CALM] crisis handled. [DEADPAN] next one's already starting. but i'll document this one first"
"GR_ML_SCI_OF_00034","[GRUFF] you'll survive. i'm not very warm about it, but you will"
"GR_ML_SCI_OF_00035","[DRY] goodbye. try not to make me add you to my list"
"GR_ML_SCI_OF_00036","[EMPHASIS] all systems critical. [GRUFF] i've stitched together crews on ships that didn't make port. this is familiar"
"GR_ML_SCI_OF_00037","[PANICKED] too many injuries. [EMPHASIS] not enough beds. [URGENT] i'm losing count"
"GR_ML_SCI_OF_00038","[CALM] i stopped doing bedside manner around the second ship i lost crews on. [GRUFF] it was kinder to be honest"
"GR_ML_SCI_OF_00039","[ANGRY] the AI's made five bad calls this week. [EMPHASIS] five"
"GR_ML_SCI_OF_00040","[GRUFF] sit down. this is going to be direct and it's going to hurt"
"GR_ML_SCI_OF_00041","[DEADPAN] gallows humor is what you do when the diagnosis is terminal. [GRUFF] i didn't invent it"
"GR_ML_SCI_OF_00042","[CALM] everyone who dies on this ship. [SIGHS] i'll remember them. whether i want to or not"
"GR_ML_SCI_OF_00043","[GRUFF] you ask why i keep that list. [DEADPAN] because names matter. because they died"
"GR_ML_SCI_OF_00044","[CALM] i'm still here. that means you're still part of the calculation"
"GR_ML_SCI_OF_00045","[TIRED] you kept your head. [GRUFF] that's rare. hold onto it"
"GR_ML_SCI_OF_00046","[EMPHASIS] nothing heals clean on a ship like this. [GRUFF] but i'll make sure it holds"
"GR_ML_SCI_OF_00047","[DRY] you keep coming back to my medbay. [CALM] i've learned to look for you in the blood work"
"GR_ML_SCI_OF_00048","[DEADPAN] you're asking me to be hopeful. [GRUFF] i remember what happened to hope on the Reeves"
"GR_ML_SCI_OF_00049","[RESIGNED] this will get worse. [CALM] but worse is something i know how to manage"
"GR_ML_SCI_OF_00050","[CALM] everyone who sits down in my medbay. [GRUFF] they matter to me. whether they know it or not"
