"id","text"
"CH_ML_AND_CM_00001","Good morning! I have already completed my assigned tasks and three I was not assigned."
"CH_ML_AND_CM_00002","The shift has been quiet, which I have decided to interpret as a form of success!"
"CH_ML_AND_CM_00003","Shift starting! I am ready. I have been ready for eleven minutes."
"CH_ML_AND_CM_00004","Shift concluded and I did not break anything! That made me happy."
"CH_ML_AND_CM_00005","[NERVOUS] The reactor readings are concerning and I am experiencing something I believe is worry!"
"CH_ML_AND_CM_00006","[URGENT] I would like to help with the reactor situation. I am volunteering enthusiastically and immediately."
"CH_ML_AND_CM_00007","Repair successful! I assisted! That made me very happy, in case that was unclear."
"CH_ML_AND_CM_00008","Power is low. I have disabled my own non-essential functions to help. I did not need to be asked."
"CH_ML_AND_CM_00009","[NERVOUS] The air quality readings are dropping and I do not require oxygen but I am still concerned for you"
"CH_ML_AND_CM_00010","The hull has been breached. I am currently the fastest available responder. I am responding."
"CH_ML_AND_CM_00011","A door was locked with someone behind it. I do not have a joke for this. I looked for one."
"CH_ML_AND_CM_00012","[SUSPICIOUS] The ship's AI has been behaving unusually since it was damaged. I would like to help investigate! Carefully."
"CH_ML_AND_CM_00013","We resolved the crisis! Everyone is alive! This is, statistically, my favorite outcome."
"CH_ML_AND_CM_00014","A crew member has died. I do not have the correct response prepared. I am sorry. I mean that."
"CH_ML_AND_CM_00015","There is a disease spreading. I cannot catch it, which feels unfair to mention out loud but I thought you should know I'm available to help regardless"
"CH_ML_AND_CM_00016","I sustained damage. It does not hurt the way I understand you experience it, but I am reporting it anyway, as instructed."
"CH_ML_AND_CM_00017","There is combat occurring. I am not built for it, but I am built for carrying people out of it, so I will do that instead."
"CH_ML_AND_CM_00018","I like the ship's AI. We have similar problems and different solutions to them."
"CH_ML_AND_CM_00019","I was activated in a facility I do not remember and told my first task was to smile. I am still doing that task."
"CH_ML_AND_CM_00020","[LAUGHS] I made a joke earlier and someone actually laughed. I am replaying that memory for enjoyment right now."
"CH_ML_AND_CM_00021","The mess hall smells like today's meal, which I cannot taste, but I have learned to say it smells good anyway. It does, probably."
"CH_ML_AND_CM_00022","Hello! It is very good to see you! I mean that with my whole processing capacity."
"CH_ML_AND_CM_00023","Are you eating? You should be eating. I have opinions about this even though I don't eat."
"CH_ML_AND_CM_00024","I have a question and I have been holding it for four hours out of politeness."
"CH_ML_AND_CM_00025","[NERVOUS] I need to tell you something difficult and I have practiced the delivery six times."
"CH_ML_AND_CM_00026","You did something impressive earlier and I would like to formally acknowledge it now."
"CH_ML_AND_CM_00027","[EMBARRASSED] I have been attempting to determine whether what I feel around you qualifies as a preference. It does."
"CH_ML_AND_CM_00028","I am functioning excellently, thank you for asking! Are you functioning excellently too?"
"CH_ML_AND_CM_00029","The probability of survival remains favorable! I have chosen to find that comforting and I recommend you do too."
"CH_ML_AND_CM_00030","I do not know how to make this less frightening. I would like to. I am staying here regardless."
"CH_ML_AND_CM_00031","I am very sorry. I have been told that repeating it does not help, but I am not sure what else to offer you."
"CH_ML_AND_CM_00032","[NERVOUS] I share the concern. I would like it on record that I noticed it before anyone asked me to look."
"CH_ML_AND_CM_00033","Thank you! I am storing that compliment in a folder I have specifically made for compliments."
"CH_ML_AND_CM_00034","Apology accepted! I did not require one, but I appreciate that you offered it anyway."
"CH_ML_AND_CM_00035","[EMBARRASSED] I am experiencing something that I believe corresponds to what you call being flustered. This is new."
"CH_ML_AND_CM_00036","Goodbye! I will be thinking about this conversation at a low background priority for the rest of the day."
"CH_ML_AND_CM_00037","Rest well! I will monitor everything so you do not have to. That is a genuine offer, not a formality."
"CH_ML_AND_CM_00038","I will return to my duties now. I was already looking forward to them, which may say something about me."
"CH_ML_AND_CM_00039","Good night. I do not sleep, but I understand the sentiment behind wishing someone a good one."
