"id","text"
"GR_FE_ENG_OF_00001","come on now, you old cow, don't do this to me today"
"GR_FE_ENG_OF_00002","[MUTTERS] okay, okay, i hear you, just — there. that's better"
"GR_FE_ENG_OF_00003","every hull's got a personality. this one's a stubborn old mule"
"GR_FE_ENG_OF_00004","[SIGHS] twenty-six years and i still talk to engines more than people"
"GR_FE_ENG_OF_00005","[LAUGHS] traded a husband for a reactor core once. best deal i ever made"
"GR_FE_ENG_OF_00006","[DRY] quiet shift. the ship's up to something, i can feel it in the deckplates"
"GR_FE_ENG_OF_00007","[WARM] nothing rattling, nothing sparking. i'll take the peace while it lasts"
"GR_FE_ENG_OF_00008","shift's starting. c'mon then, let's see what broke overnight"
"GR_FE_ENG_OF_00009","[TIRED] shift's done. she held together, so did i. good enough"
"GR_FE_ENG_OF_00010","[GRIM] reactor's running hot and she's not telling me why. i don't love that"
"GR_FE_ENG_OF_00011","[URGENT] she's spiking, i need eyes on the coolant lines right now"
"GR_FE_ENG_OF_00012","[TERRIFIED] core's screaming and i've never heard her make that sound before"
"GR_FE_ENG_OF_00013","[EXHAUSTED] talked her down off the ledge. don't ask me what i promised her"
"GR_FE_ENG_OF_00014","[GRIM] power's low and everybody wants a miracle. i've only got wrenches"
"GR_FE_ENG_OF_00015","[NERVOUS] scrubbers are wheezing. i've bought us maybe an hour"
"GR_FE_ENG_OF_00016","[PANICKED] air's going and i can't sweet-talk oxygen back into a room"
"GR_FE_ENG_OF_00017","[GRIM] hull's open somewhere. whole ship's groaning about it"
"GR_FE_ENG_OF_00018","[URGENT] i need hands on this seam before she decides to open wider"
"GR_FE_ENG_OF_00019","[GRIM] locked a door with one of ours on the wrong side. i hate this ship some days"
"GR_FE_ENG_OF_00020","[SUSPICIOUS] computer's been twitchy since the damage. i'm watching it like a bad weld"
"GR_FE_ENG_OF_00021","[PROUD] she's purring again. that's a repair i'll brag about at the next port"
"GR_FE_ENG_OF_00022","[RESIGNED] made it through another one, mule and all. i'll take that"
"GR_FE_ENG_OF_00023","[PAINED] we lost someone today. this old girl doesn't know how to say sorry, so i'll say it for her"
"GR_FE_ENG_OF_00024","[GRIM] disease loose on a ship this size is the one thing i can't fix with a wrench"
"GR_FE_ENG_OF_00025","[PAINED] took a knock. i've had worse from a bad coupling"
"GR_FE_ENG_OF_00026","[GRUFF] combat's not my trade. give me a fire and a wrench, i'll handle it my way"
"GR_FE_ENG_OF_00027","[SUSPICIOUS] i don't trust anything that doesn't creak when it's tired. machines should creak"
"GR_FE_ENG_OF_00028","[RESIGNED] gotta hand it to the computer. that call kept my mule in one piece"
"GR_FE_ENG_OF_00029","[WARM] Gus'd have this fixed slower and grumpier. i love him for it anyway"
"GR_FE_ENG_OF_00030","that man argues with his tools more than he argues with me. that's saying something"
"GR_FE_ENG_OF_00031","[GRUFF] cargo bay's stacked wrong again. somebody's getting a lecture"
"GR_FE_ENG_OF_00032","[WARM] mess smells almost decent today. i'll allow it"
"GR_FE_ENG_OF_00033","[SIGHS] i miss dirt that wasn't engine grease. real dirt, from a real planet"
"GR_FE_ENG_OF_00034","hey. you eating or just avoiding the bridge"
"GR_FE_ENG_OF_00035","didn't expect company down here. pull up a crate"
"GR_FE_ENG_OF_00036","[WARM] captain, before you ask — yes, it's handled, no, i won't explain how"
"GR_FE_ENG_OF_00037","[GRIM] we need to talk about the coolant loop before it talks for itself"
"GR_FE_ENG_OF_00038","Gus, that noise you keep ignoring in bay two, i found it"
"GR_FE_ENG_OF_00039","[FLIRTY] you gonna keep flirting with that bulkhead or you got a minute for me"
"GR_FE_ENG_OF_00040","[SUSPICIOUS] something's off with the computer. tell me you've noticed too"
"GR_FE_ENG_OF_00041","[GRUFF] fine. i'm fine. ask me again once i've yelled at something"
"GR_FE_ENG_OF_00042","[CONFIDENT] give me twenty minutes and a little sweet-talking, she'll sing again"
"GR_FE_ENG_OF_00043","[REASSURING] she's held worse than this. i wouldn't lie to you about my own engine"
"GR_FE_ENG_OF_00044","[PAINED] we lost them. wasn't the ship's fault and it wasn't yours either"
"GR_FE_ENG_OF_00045","[WARM] you did good today. don't let it go to your head, but you did good"
"GR_FE_ENG_OF_00046","[SUSPICIOUS] not saying it's gone rogue. saying keep a hand near the manual override"
"GR_FE_ENG_OF_00047","[EMBARRASSED] i, uh — yeah. i was hoping you'd say something like that"
"GR_FE_ENG_OF_00048","[GRUFF] not now, Gus. maybe not ever. it's not you, it's every ship i've loved and lost"
"GR_FE_ENG_OF_00049","[WARM] good talk. get some rest, you look like the ship feels"
"GR_FE_ENG_OF_00050","[GRUFF] that's enough chatting, this mule needs feeding"
"GR_FE_ENG_OF_00051","[TIRED] i'm done for the day. if she breaks again it can wait till i've slept"
"GR_FE_ENG_OF_00052","[WARM] rest easy tonight. we earned it, her and me both"
